observed,location_details,county,state,season,latitude,longitude,date,number,classification,temperature_high,temperature_mid,temperature_low,moon_phase,summary
"Well last year I was night fishing 9/2010 at Amawalk Reservior SOMERS NY about 30 minutes from PAWLINGS I was fishing with my buddy..the reservior was about 100ft into the lake before you got to water .....about 5am sun was coming out..when a 5 foot maybe 5 1/2 ft man  or Big Foot came out of the woods washed its face and drank some of the reservoir water..he looked like something out of the old school ""Planets of the Apes"" chimps..I said to my buddy ""you see that?""?he said yes ..Now on Animal Planet there showing a clip of a Big Foot that has been seen in these areas (Lower Hudson Valley)..So I'm puzzled to think what I saw was a Big Foot....so this my account of what I saw..and we didn't catch crap at night..anybody ever run into anything like this??... This was my post on www.westchesterfishing.com Low and be hold another member at the same reservior..Columbus day 2011..this is his post..Hey Guys, I put at Amawalk this summer and about the 5th time I took it out in early October.  I saw two upright walking chimp looking things walk out of the woods and crouch down and drink from the res, run back in to the woods and then do the same thing again.  When they came out the second time one of them threw it's arms in the air while squatting and then they ran back into the woods.   The second one went back slowly.  It seemed like they saw something in the water right in front of them.  That was right when the sun came up.  I haven't been back to my boat since.  I have no idea what they were and looked like two large chimps to me.  Maybe some guy who lives there has two monkeys or something?  I have no idea.  But I saw something that I can't explain, it has been eating away at me since.  When I saw the preview for that show I almost shat myself.  When Biggame posted here I didn't want to say that I saw something because I'm from Oregon and my hunting and logging part of the family thinks they know where they live but none of them have never ever seen them just have stories, just like everyone else in Oregon.  Then I saw what I saw in October and have been denying it to myself ever since.  I absolutely hope that someone owns two monkey's on the Amawalk. I have no reason to say something like this.  Before October I could have cared less if bigfoot existed, now I'm a bit curious.  I own a fishing rod company and have business to lose from people thinking I'm crazy for posting this on here.  This is a nothing to gain and allot to lose situation for me but, I had to say something when Biggame posted.  Let me be clear in saying that I saw something too.  I have no idea what they were and would need absolute proof that bigfoot existed before I would ever say thats what they were. So two seperate sightings same place different year..I BELIEVE!!!",Both sightings were on the North east corner of the reservoir..the lake was low..I saw it walk and stick its face in the water like a dog,Westchester County,New York,Fall,41.29873,-73.73717,9/1/10,31940,Class A,92.24,80.81,69.38,0.76,Clear throughout the day.
I was on my way to Claremont from Lebanon on Rte 120 and was passing by some reeds in a marshy area next to the road that sounded like a huge flock of birds. The creature came out of the reeds and was crouched down looking at me through them. Surprisingly it got out of the reeds from crouched to standing turned around and ran towards the wooded area up a hill and was moving with it's arms brush and tree branches out of the way. It was incredibly fast runner and I got a good look at its coconut shaped head as it ran away. It was light brown/brown. It had incredibly broad shoulders. I went back the same day. The marsh went up to my knees and I could smell a bad odor like garbage. Myself and a friend went back to the sighting. We found a footprint and a hair sample. I could hear wood knocks when my friend James did a call and we also found a large bed of branches and some tree structures. The following month I went back to Claremont and I heard screeching in the woods while I was traveling Rte. 120 on a bicycle.,Close to Claremont down 120 not far from Kingston road.,Sullivan County,New Hampshire,Summer,43.41549,-72.33093,6/7/16,55269,Class A,74.69,64.245,53.8,0.1,Mostly cloudy throughout the day.
"I was northeast of Macy Nebraska along the Missouri River taking part in an expedition hosted by members of the Omaha Indian tribe. We were on the Omaha Reservation.  These tribal members say they've had many sightings in the hilly bluff zone extending for miles along the west flank of the Missouri River Basin. Five of us had decided to take a day hike to see a possible “X” structure. As we started up the path it became known that to get to the “X” we’d have to veer off the main path and bushwhack through the weeds. Two people did this while three of us decided to stay on the clearer but muddy path. (I still have never seen this ""X"" but pictures are available.) As we headed up the trail one of my Native American companions said he was hearing movement in the woods to our right. At this point we could not see very far off the path as trees and brush blocked the view. I did not hear the movement. We continued forward and came to an area where trees had been cut down in the past. We could see maybe 40-50 yards back into the forest. Two of us looked to our right as soon as we made it to this clearer area and immediately saw movement. I saw a long light brown object that was swinging downward from a horizontal position toward. It was not indicative of any other animal that I can think of and was bent slightly at an apparent elbow. I could not see a hand because of the brush. At the time of the sighting the other witness started telling us what HE just saw. He said “I just saw one” and described seeing the whole upper body of a light brown Sasquatch. Apparently when it noticed us it started to drop down and move to its right (our left) behind cover. He said as it was ducking down the arm had swung way up in the air and back down, and he demonstrated. His description and demonstration exactly matched what I had seen. He did not know that I had also seen it as he was telling me his story. I took a picture of the area where the sighting happened. This subject was behind and to the right of a stick pointing upward. On July 27th 2018, I revisited the location with BFRO investigator T. Bell and hacked my way back into this spot. We determined that the top of the stick is about 11 feet high, making the top of the swinging ‘arm’ at around 9 feet tall. On the day of the sighting I was not prepared to bushwhack back into the site where the subject was seen. I was better prepared when we returned on July 27th. I have already done an interview with the BFRO investigator just after our recreation attempt. This subject was MUCH larger than me. It could very easily be 10 + feet as it was already ducking away when I saw it.",Latitude & Longitude :  42.158230  -96.344197,Thurston County,Nebraska,Spring,42.15685,-96.34203,5/25/18,59757,Class B,93.4,77.7,62,0.38,Partly cloudy in the morning.
"My two friends and I were camping near Busick, NC, just east of the Smokey Mountain National Park.   We were northeest of Asheville, near the Blue Ridge Parkway.    (Busick is so small that google earth does not have a marker for it.)   On the first of the two nights we were there, we heard wierd yells going through the woods right after dark.   Later, while we were sitting near the campfire playing dominos, we heard the same yell and heard rustling in the woods nearby.   We couldn't distinguish what it was because there were some people singing christian hymns at a small theatre nearby.   Later that night, when I was asleep, my friends(they were brothers) were talking about the upcoming wedding of one of them this coming spring and the younger brother says that he saw it move through the woods very close to our camp.   He told me about it the next day and I got kind of scared, since I may have seen a bigfoot in New Mexico back in 1994 while in the boy scouts.   The next day the two brothers went on a long hike and I stayed in camp since I was experiencing foot problems and had no hiking boots.    I got really bored so I decided to walk down what seemed to be a game trail into the woods for a few hundred yards.   I noticed that there were a lot of trees that were broken, like something had bended them.   None of these trees were very thick, but there were a few that I knew I could not snap.   I started to get a little scared, like something wasn't right.   I was only about a 1/4 mile from the campground, and I saw it.   It scared the s**t out of me.   I only saw it for about 10-15 seconds(maybe, I was so scared it could've been 5 seconds or it could have been a minute), and the best way to describe it would be that it looked like the bigfoot from Harry and the Hendersons only it was heavier and a little bit darker.   I was probably about 15-30 feet from it when I saw it.   We stared at each other for the duration of my sighting, and then it walked away as if I wasn't anything to worry about.    I stood in that spot for a little while and then walked back to the campsite, stopping every now and then to look around for the thing.   I told my friends about it and after describing the thing the one brother who saw it the night before said that it was probably the same thing he saw.","Pisgah National Forest, Black Mountain Campground",Yancey County,North Carolina,Summer,35.75278,-82.22121,8/21/11,30860,Class A,78.53,70.4,62.27,0.74,Foggy in the morning.
"It was August of 1977 and I had missed my ride home from Hacketstown NJ to Byram NJ. The road to get back to Byram is Waterloo Rd. It was about 9:30-10:00 PM so I decided to hitch hike it on Waterloo hoping that someone would give me a lift back to HWY-206. It was very dark and as I was walking past Stephens State Park and then the old Saxton Falls area, I could hear something that sounded like it was on 2 feet stalking me in the woods on the ridge side of Waterloo Rd. It got very interesting when I started sprinting, it also started sprinting keeping up with me for what seemed like at least a mile. When I would walk, it would walk. It was loud as it went thru the woods as I stayed on the road hoping for a car to pick me up. Eventually I did get a ride near a few houses after passing an old Tavern on the river side of Waterloo Rd.","Waterloo Road, near the Sussex - Warren County border.",Warren County,New Jersey,Summer,40.89452,-74.79077,10/2/15,49883,Class B,49.06,46.65,44.24,0.67,Light rain starting in the afternoon.
"On Feb .20, 2011 my mother and father were on there way back to Antonito, Co from Espanola, New Mexico. It was probably between 10:00p.m.and 11:p.m when they were driving down  road 285 headed north a big,tall, black human looking thing was standing in the road upon the car coming up closer the black thing which stood over six feet tall, very husky, walked very fast like a gorilla walk across the road. The thing popped out from the east side of road 285 crossing to the west side of the road . It was a very scary situation according to my parents. They suggest that anybody, especially female drivers to PLEASE BE CAREFUL.","It was just North of the road on Hwy 285 from the flashing light of Tres Piedras, New Mexico right where there is a wall of rocks on each side of the road. by the Per-light.",Taos County,New Mexico,Winter,36.65339,-105.9678,2/20/11,28886,Class A,30.75,21.81,12.87,0.59,Light snow and breezy in the morning.
It was last winter 2010-2011 at about 1:00am. I was out on a wrecker call north of the Missouri River about a mile. I was loading a car on to my truck when I heard a deep grunt. I turned with my flash light and looked behind me and almost 100 feet behind me was an up right walking creature dragging the dead elk that the car I was towing had hit down the side of a hill. It was about 40 below zero I was cold and scared so i loaded up and got back to town.,About 65 or 70 miles South of Malta on highway 191 on the C.M. Russel Wildlife Refuge.,Phillips County,Montana,Winter,47.66724,-108.6873,1/8/11,33257,Class A,35.12,21.305,7.49,0.14,Light snow in the afternoon.
2011 I WAS CAMPING IN THE LITTLE BELT MOUNTAINS; I WAS ALONE FISHING ON SHEEP CREEK NORTH OF JUMPING CREEK CAMP GROUND; I looked across the creek and a reddish brown humanoid was standing and it looked at me and ran off it looked like it was washing berries.,it has lots of think pine forest and beaver dams on the creek and lots of water; it is green border line lush,Meagher County,Montana,Spring,46.76389,-110.7781,5/29/10,36281,Class A,43.79,39.525,35.26,0.56,Clear throughout the day.
I was up snowmobileing in the elk horns and I saw a vary tall creature about 200 yards away. I’d say the shouldners had to be 5 feet wide and it was probably 9 feet tall I watched it for a minute then I got freaked out and left,It was by tizer lakes,Jefferson County,Montana,Winter,46.24,-111.75,3/9/19,63148,Class B,19.79,9.61,-0.57,0.11,Possible light snow (< 1 in.) overnight.
"I am not sure that I had sighting. The reason I am writing this is because I listened to the ""Whoops and Knocks"" recording from CA, and it reminded me of what I heard while I was hunting on Tuesday afternoon. I was hunting with friends in the Swan Valley of MT. I do not know the exact location, because we were in the backwoods, and traveling on back roads off of Highway 83. We were on the east side of the highway north of Condon and I beleive south of town Swan. My Partner and I split up (our other partner was in his truck up the road). He was to my left 150 yards and in front of me by 200 yards. I saw something brown in the corner of my eye pass behind a tree to my right, hoping it was a deer or elk, I started to head in that direction. My partner contined heading toward and through a ravine. I would walk, and then stop for about 10-20 seconds looking around. I kept hearing a knocking sound. I thought it was a very close woodpecker, but could never see one.Plus it was really loud. After I decided that I must of lost the deer or elk, I decided to head down into the ravine my friend has been went through about 5-10 minute before me. The knocking sound became loud and I was sure that it just was very loud wood pecker, or deer ruttings(The rut is not for a couple of more weeks). The sound always came from the right of me. After hearing knocks on the recording in the Seirra Mountains, I am about 98% sure that is what I heard. Wood or something hitting wood, which also explains the volume and pacing of the knocking. I walked down into a ravine and it got a littel louder. Then all of sudden the knocking just stopped. I decided to go find my partner and walked out the ravine to the other side. I could not find him, so I went back through the ravine, and heard more knocking.I walked back somwhere between 1/2 to mile to our drop off point on the road (I came out about 100 ft to right of the spot), and thought I heard and elk call (which none of my partners heard) but sounds very much like the whoop call after the 1/2 point of the recording. The two men I was hunting with are expereinced hunters and in the woods. It was my second time hunting.  I told them about what I thought was the elk call, and neither of them heard it. When I heard it I was probably atleast 1/2 mile from them. I did not mention the knocking, because I though it was bird, and no big deal. I have hiked/backpacked in Tenn,CT,NC,AZ, The Cascades in WA, Grand Coulee Dam Area of WA, and enjoy being in the woods. This is my first time that anything like this has happened. I will leave the verdict up to you, You are the experts not me. If this was a sighting then great I am glad that I could help. If not then that is fine too","While I cannot give a specific location, I will do my best. We were off  highway 83 east towards the mountains. We were hunting district 130 of MT, north of Lindberg Lake, and south of the hunters check in station heading north on 83. I believe we were behind the small airport.",Flathead County,Montana,Fall,47.60413,-113.7593,3/20/10,21907,Class B,55.28,41.2,27.12,0.16,Clear throughout the day.
