,city,state,date_time,shape,duration,stats,text,city_latitude,city_longitude,month,season
118203,Anniston,AL,2017-10-22T18:00:00,fireball,10 minutes,"Occurred : 10/22/2017 18:00  (Entered as : 10/22/2017 18:00) Reported: 10/23/2017 1:12:16 PM 13:12 Posted: 11/3/2017 Location: Anniston, AL Shape: Fireball Duration: 10 minutes Characteristics: There were lights on the object, There was an aura or haze around the object, The object changed color, There were aircraft in the vicinity or aircraft chasing the object","Red fireball object, (drone?), slowly drifted 75 feet above our heads, hovered above, turned white & at high speed disappeared 
 
Coming out of church last night, myself and two other ladies were in the parking lot talking and about to leave.  A red fireball object, kind of dancing, maybe a drone, slowly came toward us at about 75 feet above our heads, hovered over us for about a minute and then slowly went out site behind trees.  We then saw a large plane flying much higher seconds later.  As we left the church separately, I drove alone to try and find it for 5 minutes.  I pulled into a parking lot on Old Birminhame Hwy of an abandoned store, 6 blocks from the church.  I spotted it up on the mountain above trees just up behind the area of the church, but the light was white, and no red.  It hovered moving slowly. No houses there.  I saw it head West toward the direction of Lincoln.  I drove West on the Old Birmingham Hwy.  It was beside me on the left in the sky, keeping pace with my car at about 30mph.  I was on the phone talking to another church member about it.  I lost sight of it when I came around a curve. Coming out of the curve, I spotted it again, on the right side of me, but it was way ahead, a couple miles down the road at the Lincoln area already in seconds, then it disappeared.  I wondered if it was a Homeland Defense drone or something.  No other reports had been made about it to the Sheriff.   
 
Very strange.  Most bizarre thing I've seen in my 60 years.  #ScratchingMyHead",33.67704025974026,-85.79742987012987,10,Fall
127239,McCordsville,IN,2020-03-05T21:14:00,unknown,4 seconds,"Occurred : 3/5/2020 21:14  (Entered as : 03/05/20 21:14) Reported: 3/5/2020 6:45:13 PM 18:45 Posted: 4/9/2020 Location: McCordsville, IN Shape: Unknown Duration: 4 seconds Characteristics: There were lights on the object, There was an aura or haze around the object","Translucent or Cloaked UFO visible against night sky. 
 
Translucent against the night sky.  Best description is like the Predator movie creature ability to cloak.  About 1 mile altitude, moving NW to SE.  Had maybe 4 or 5 very dim lights within the ‘cloaked’ area.  Could not make out shape, only where it was based on how it distorted the sky behind it.  Silent, steady, even a smooth velocity.  Visible from once it was first seen until out of visual range at 4 to 5 seconds.",39.909,-85.9235,03,Spring
111042,Albuquerque,NM,2016-01-13T23:19:00,oval,4 minutes,"Occurred : 1/13/2016 23:19  (Entered as : 01/13/2016 23:19) Reported: 1/15/2016 4:27:23 AM 04:27 Posted: 1/20/2016 Location: Albuquerque, NM Shape: Oval Duration: 4 minutes Characteristics: There were lights on the object, The object emitted other objects","We watch a orange light on the east side of town move from left to right.   
 
We then saw it drop what looked like a long line or orange colored lights..both lights then vanished. 
 
 
((NUFORC Note:  Witness elects to remain totally anonymous; provides no contact information.  PD))",35.117007033898304,-106.62212966101694,01,Winter
89408,Bremerton,WA,2013-05-04T02:45:00,unknown,20-30 minutes,"Occurred : 5/4/2013 02:45  (Entered as : 05/04/13 2:45) Reported: 5/4/2013 5:13:08 PM 17:13 Posted: 5/15/2013 Location: Bremerton, WA Shape: Unknown Duration: 20-30 minutes Characteristics: There were lights on the object","White and red strobing lights gliding silently, changing directions, then appearing as three distinct solid white lights in a row. 
 
As I was driving an early AM paper route this morning, I noticed in the Eastern sky a large, bright silver-white light strobing in an alternating pattern with a single red light.  The red light, oriented to the South of the craft, would flash first, followed about ¼ second later by the white light.  The red light was flashing about once per second.  The craft at first was moving in a Northward direction, then after a few minutes, it began to move southward. I noted that there was no sound, and the craft seemed very low in the sky, maybe 3,000- 5,000 ft.   I am not a good judge of altitude, but it occurred to me that had it been a plane, it would have been making a landing approach to be that low or close.  Also, had it been a helicopter, I would most definitely have heard the chopping propeller sound since it was so close.  There was never any jet or chopper noise, and I had my window rolled down completely in the vehicle. 
 
As I proceeded southward along my route, moving from the Keyport region, into Brownsville/Illahee, I was able to periodically track the motion of the object at certain points where the view to the East allowed.  It continued gliding slowly in both directions (North for a few minutes, then South, always remaining to my East out over the Puget Sound.)  At one point during the sighting, I noticed that it appeared to have changed orientation and I could see three solid bright white/silver lights in a line, (maybe facing toward me, rather than parallel to me.)  I thought that it might be a triangular shape and that the three lights denoted the tips.  The middle light seemed to be a little brighter or larger, maybe due to being closer from my perspective.   
 
The entire sighting took place over a period of 20-30 minutes between about 2:45 AM and 3:15 AM. I eventually lost my line of sight due to natural obstructions (a heavily wooded area.)",47.59320484848485,-122.66208787878789,05,Spring
137689,Albuquerque,NM,2021-11-18T23:30:00,light,15 seconds,"Occurred : 11/18/2021 23:30  (Entered as : 11/18/2021 11:30 PM) Reported: 12/27/2021 3:06:24 AM 03:06 Posted: 3/4/2022 Location: Albuquerque, NM Shape: Light Duration: 15 seconds","It looked like a very large, slow satellite, and then it disappeared. 
 
I was standing in my driveway, facing north and looking up at Cassiopeia, which was not quite directly above me. I noticed a light that appeared to be moving upward, very slowly. (There was no sound, but it was also at a distance at which I would not expect to hear anything.) I live close enough to the airport and Kirtland Air Force Base that I am familiar with both common commercial and military aircraft, flight patterns, and speeds. I also spend many hours a week looking at the sky, the stars, and constellations, and frequently see satellites passing overhead. This was large, and brighter than a commercial jet normally appears at the distance as I perceived it, and it went much straighter up than jets I normally see. It moved more like a satellite, but it was slower, larger, and brighter than any satellite I have ever observed, plus, when I opened the Stellarium app on my phone, it did not indicate any object passing overhead at that time. As I watched it and realized that it was not anything I am familiar with, it passed between the Alpha and Beta stars in Cassiopeia, and the light went out. It didn't fade or shoot off in any direction, it just stopped being visible, like a switch was flipped. At the time, I didn't think it was worth reporting (though I recorded it in my journal for the day), but for some reason, I have been thinking about it frequently, and decided to make a record of it.",35.117007033898304,-106.62212966101694,11,Fall
72111,Rockford,IL,2011-06-24T11:45:00,other,2-3 seconds,"Occurred : 6/24/2011 11:45  (Entered as : 06/24/11 11:45) Reported: 7/7/2011 8:18:30 PM 20:18 Posted: 7/17/2011 Location: Rockford, IL Shape: Other Duration: 2-3 seconds","very large object glides across opening in clouds for a brief view. 
 
I was on lunch break at work looking at the birds flying around on a very cloudy day.  There was only one break in the clouds in the shape like an open eye. I noticed a huge object seem to float across this opening in the cloudy sky.  This object was at least five times bigger then any aircraft I have ever seen.  The shape was unlike any ufo I ever heard of.  It had a top,middle and bottom to it.  All the same width with the middle a bit larger in highth then the top and bottom.  The top and bottom were the same sizes. middle section was like the saucer shapes you here of, but there were like half saucers on top and bottom of it.  Seemed flat on top and bottom. It just glided through the opening in the clouds for a few seconds and that was it. seemed to be made of medal, not shinny though just a dull look to it.  No lights, no sounds, no signs of combustion. just glided like it was sliding on the gravy some how. 
 
 
((NUFORC Note:  Witness elects to remain totally anonymous; provides no contact information.  PD)) 
 
((NUFORC Note:  Witness indicates that the date of the sighting is approximate.  PD))",42.2680608490566,-89.06246297169811,06,Summer
130274,Pensacola,FL,2020-10-10T18:00:00,oval,2 hours,"Occurred : 10/10/2020 18:00  (Entered as : 10/10/20 18:00) Reported: 10/11/2020 12:30:27 AM 00:30 Posted: 12/23/2020 Location: Pensacola, FL Shape: Oval Duration: 2 hours Characteristics: There was an aura or haze around the object","Metallic UFO above Pensacola Florida 
 
First thought to be a white or silver balloon but as we watched it over the course of an hour it appeared to be above the clouds or at least most of them, A hurricane had just missed us but we had maybe 30 mile per hour winds still moving the clouds along and this object remained where it wanted to be up and down appearing to get closer to the ground or maybe chnnging its shape because the clouds always were under it and we only lost sight once the sun went down. 
 
",30.45103896353167,-87.24911285988483,10,Fall
66661,Taneytown,MD,2010-06-12T01:00:00,circle,seconds,"Occurred : 6/12/2010 01:00  (Entered as : 06/12/10 1:00) Reported: 6/12/2010 11:52:53 PM 23:52 Posted: 6/23/2010 Location: Taneytown, MD Shape: Circle Duration: seconds Characteristics: The object left a trail","green glowing circle shooting across sky and nightly white light 
 
I have always had a habit of watching the skies at night.  The best sightings I had were when I lived in Santa Fe, New Mexico.  My boyfriend and I were walking into the mall on night and I noticed an unusual light in the sky and we decided when we left the mall if it was still there we would go look for it.  When we came out it was still there but had moved slightly.  So we drove up to Hyde Park where the lookout spot is and could see a disk like object hovering above Santa Fe. 
 
The sightings I am reporting now are above Taneytown, MD.  I have not lived here long but since I have moved here I have been noticing different things.  Last winter I saw a falling object over a local park, it was too large to be a falling star.  I have noticed an object that travels parallel with a main road- the lighted object moves so slow it is almost not noticeable it is moving unless you are actually watching it. 
 
I have also noticed that around 9pm there is a light in the sky behind where we live.  To give an idea of the diameter; stars vs. ""the light""   it is like the stars are pin-heads and “the light” is a pencil eraser.  The light is not directly above me when I see it; it is off in the distance a bit. To show attempt to express the distance it travels within an amount of time; if you were to go on my back porch with a ruler and hold it up, the bottom of the ruler lined up with the roof top of the house-- the light starts out about 12 inches above the house diagonally behind us, then by 10pm the light is level with the chimney top of the same house.  Not sure how else to explain it.  The light is not directly above the house it is off in a distance.  Just using perspective to explain how it moves.  Also it does not move in a straight line – it slowly zigzags as it moves forward.  My friend and I went looking for it the other night but it was slightly cloudy out and lost it.  We a! re going to attempt it again on another night.  This light is out there every night – but I have not noticed it on rainy nights because I don’t go out there when it is raining. 
 
Earlier tonight I saw something in my peripheral vision above me out front.  It was a very large green glow shooting across the sky.  It was round in the front and it definitely was not a shooting star, if I would have held my fist in the air it would have been bigger than my fist. And it disappeared right after I looked up.",39.6688,-77.1723,06,Summer
135621,Denver,NC,2021-02-25T18:45:00,formation,5+ minutes,"Occurred : 2/25/2021 18:45  (Entered as : 02/25/2021 18:45) Reported: 2/27/2021 7:04:35 AM 07:04 Posted: 3/2/2021 Location: Denver, NC Shape: Formation Duration: 5+ minutes Characteristics: There were lights on the object","Long string os lights in trail. Some stacked line abreast and some had lateral separation consisting of a typical parallel approach a an International airport with multiple parallel runways.  Each individual craft had at a distance had a single orange slow blinking light.  Three of them had bluish and pinkish color multiple lights.  Maximum line abreast elements were os two not more than three in a fingertip formation.  No noise and no rapid changes in direction. 
 
",35.4875,-80.9876,02,Winter
99824,Edgewater,FL,2014-07-04T22:00:00,fireball,1:30,"Occurred : 7/4/2014 22:00  (Entered as : 07/04/14 22:00) Reported: 7/6/2014 5:58:50 PM 17:58 Posted: 7/11/2014 Location: Edgewater, FL Shape: Fireball Duration: 1:30 Characteristics: There were aircraft in the vicinity or aircraft chasing the object","Orange Glowing ball traveling silently approximately 1500 feet along interstate. 
 
While viewing neighborhood fireworks my wife and I observed a Glowing Orange ball of light heading towards our location.  As there was a lull in the fireworks ,We had noticed the absence of noise from the ball.   
 
Coincidently a Cessna had taken off from our local airport nearer to us than the object but was oblivious to the glowing object.  It was apparent that the ball was further from us than the plane and the ball was making a sweeping turn to the north following Interstate 95.   
 
We continued to observe the object as it faded out of view due to tall trees and low clouds obscuring our view. My wife captured the object on her IPhone and our narrative.",28.97634311377245,-80.90945988023952,07,Summer
